Job Title,Company,Location,
Pricing Specialist,Hewlett Packard Enterprise,location: AucklandAuckland,https://www.seek.co.nz/job/39093637?type=standout&amp;searchrequesttoken=4f0089b2-d7da-42f0-8ab3-61a8eb373f14
Senior Database Developer,Randstad Technologies,location: AucklandAuckland,https://www.seek.co.nz/job/39093324?type=standout&amp;searchrequesttoken=4f0089b2-d7da-42f0-8ab3-61a8eb373f14
Account Executive- Foodstuffs,Johnson & Johnson,location: AucklandAuckland,https://www.seek.co.nz/job/39092234?type=standout&amp;searchrequesttoken=4f0089b2-d7da-42f0-8ab3-61a8eb373f14
Software Developer,Randstad Technologies,location: AucklandAuckland,https://www.seek.co.nz/job/39091855?type=standout&amp;searchrequesttoken=4f0089b2-d7da-42f0-8ab3-61a8eb373f14
Service Desk Analyst,Datacom is one of Australasia’s largest professional IT services companies,location: CanterburyCanterbury,https://www.seek.co.nz/job/39091290?type=standout&amp;searchrequesttoken=4f0089b2-d7da-42f0-8ab3-61a8eb373f14
Subject Librarian,Massey University,location: ManawatuManawatu,https://www.seek.co.nz/job/39090998?type=standout&amp;searchrequesttoken=4f0089b2-d7da-42f0-8ab3-61a8eb373f14
Finance Administrator,Ballance Agri-Nutrients,location: Bay of PlentyBay of Plenty,https://www.seek.co.nz/job/39090762?type=standout&amp;searchrequesttoken=4f0089b2-d7da-42f0-8ab3-61a8eb373f14
Digital Insights Analyst,Robert Walters,location: AucklandAuckland,https://www.seek.co.nz/job/39090577?type=standout&amp;searchrequesttoken=4f0089b2-d7da-42f0-8ab3-61a8eb373f14
Membership Support Administrator,Recruitment Studio,location: AucklandAuckland,https://www.seek.co.nz/job/39090422?type=standout&amp;searchrequesttoken=4f0089b2-d7da-42f0-8ab3-61a8eb373f14
Data Architect,Datapoints,location: AucklandAuckland,https://www.seek.co.nz/job/39090357?type=standout&amp;searchrequesttoken=4f0089b2-d7da-42f0-8ab3-61a8eb373f14
BI/DW Developer,Coca-Cola Amatil NZ Ltd,location: AucklandAuckland,https://www.seek.co.nz/job/39090247?type=standout&amp;searchrequesttoken=4f0089b2-d7da-42f0-8ab3-61a8eb373f14
Property Data Analyst,Auckland Transport,location: AucklandAuckland,https://www.seek.co.nz/job/39090238?type=standout&amp;searchrequesttoken=4f0089b2-d7da-42f0-8ab3-61a8eb373f14
Property Data Analyst,Auckland Transport,location: AucklandAuckland,https://www.seek.co.nz/job/39090237?type=standout&amp;searchrequesttoken=4f0089b2-d7da-42f0-8ab3-61a8eb373f14
Supply Chain Administrator,Miraka Limited,location: WaikatoWaikato,https://www.seek.co.nz/job/39090134?type=standout&amp;searchrequesttoken=4f0089b2-d7da-42f0-8ab3-61a8eb373f14
Finance Business Partner - Sales and Marketing,Convergence Partners Limited,location: AucklandAuckland,https://www.seek.co.nz/job/39090122?type=standout&amp;searchrequesttoken=4f0089b2-d7da-42f0-8ab3-61a8eb373f14
Business Development Manager - HVAC,Johnson Controls,location: AucklandAuckland,https://www.seek.co.nz/job/39090019?type=standout&amp;searchrequesttoken=4f0089b2-d7da-42f0-8ab3-61a8eb373f14
Key Account Executive - Alternative Channels,Tribe (New Zealand) Limited,location: AucklandAuckland,https://www.seek.co.nz/job/39089983?type=standout&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Regulatory Pricing Manager,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: NorthlandNorthland,https://www.seek.co.nz/job/39089892?type=standout&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Analytics Lead Consultant - Microsoft Business Intelligence,Theta,location: WellingtonWellington,https://www.seek.co.nz/job/39089821?type=standout&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Policy Analyst,Ministry of Health,location: WellingtonWellington,https://www.seek.co.nz/job/39089820?type=standout&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Network Performance Technician,Auckland Transport,location: AucklandAuckland,https://www.seek.co.nz/job/39089801?type=standout&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Network Performance Technician,Auckland Transport,location: AucklandAuckland,https://www.seek.co.nz/job/39089800?type=standout&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Analytics Lead Consultant - Microsoft Business Intelligence,Theta,location: AucklandAuckland,https://www.seek.co.nz/job/39089781?type=standout&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Information & Data Architect,Younity Limited,location: WellingtonWellington,https://www.seek.co.nz/job/39089740?type=standout&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Software Developer - NIWA,NIWA,location: CanterburyCanterbury,https://www.seek.co.nz/job/39089593?type=standard&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Waimea Dam Survey Manager,Fulton Hogan,location: TasmanTasman,https://www.seek.co.nz/job/39089553?type=standout&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Analytics Lead Consultant (Hamilton) - Microsoft Business Intelligence,Theta,location: AucklandAuckland,https://www.seek.co.nz/job/39089535?type=standout&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Lead/Senior Consultant - SQL Server/Datawarehouse Developer,Theta,location: AucklandAuckland,https://www.seek.co.nz/job/39089456?type=standout&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Nationwide Product Sales Development Manager,Aotea Security (NZ) Ltd,location: AucklandAuckland,https://www.seek.co.nz/job/39089137?type=standout&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Head of Digital,TSB,location: TaranakiTaranaki,https://www.seek.co.nz/job/39089069?type=standout&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Management Accountant,Parker Bridge – Global Recruiter Winners 2018 – Best Marketing Campaign,location: WellingtonWellington,https://www.seek.co.nz/job/39088919?type=standout&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Manager Customer Service Park to Plane,Christchurch International Airport,location: CanterburyCanterbury,https://www.seek.co.nz/job/39088862?type=standout&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Lead Business/Data Analyst,Ministry of Education,location: WellingtonWellington,https://www.seek.co.nz/job/39088836?type=standard&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Lead Business/Data Analyst,Ministry of Education,location: WellingtonWellington,https://www.seek.co.nz/job/39088835?type=standard&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Retail Account Manager - NZ and the Pacific Islands,RWR Executive,location: AucklandAuckland,https://www.seek.co.nz/job/39088802?type=standard&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Principal Planner,NZDF,location: WellingtonWellington,https://www.seek.co.nz/job/39088799?type=standout&amp;searchrequesttoken=4e02aaf1-a48b-4394-84b2-951438244b6b
Senior Financial Accountant 12 to 18 Month Contract,Echelon Group Limited,location: CanterburyCanterbury,https://www.seek.co.nz/job/39088619?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
Schedule Coordinator- Hawkes Bay,IHC,location: Hawkes BayHawkes Bay,https://www.seek.co.nz/job/39088371?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
Business Analyst / HRIS Systems / North Shore,Enterprise Technology Recruitment Ltd,location: AucklandAuckland,https://www.seek.co.nz/job/39088166?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
Product Marketing Advisor,Wellington Zoo Trust,location: WellingtonWellington,https://www.seek.co.nz/job/39088080?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
Strategy& Senior Analyst / Manager,PwC NZ,location: AucklandAuckland,https://www.seek.co.nz/job/39087787?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
National Training Coordinator,Johnson Controls,location: AucklandAuckland,https://www.seek.co.nz/job/38865801?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
Finance Analyst - Global FP&A,Icebreaker,location: AucklandAuckland,https://www.seek.co.nz/job/39087348?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
Procurement Analyst,DOWNER NZ,location: AucklandAuckland,https://www.seek.co.nz/job/39087232?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
Business Analyst (FCG),New Zealand Police,location: WellingtonWellington,https://www.seek.co.nz/job/39087120?type=standard&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
Senior UX & Insights Analyst,Flux Federation,location: WellingtonWellington,https://www.seek.co.nz/job/39086791?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
Integration Software Engineer,Recruit IT – Your IT Career and Contract Specialists,location: AucklandAuckland,https://www.seek.co.nz/job/39086778?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
HR Manager,Gerard Roofs (RoofTG Pacific),location: AucklandAuckland,https://www.seek.co.nz/job/39086708?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
HR/Quality Assurance & Personal Assistant,Kinetic Recruitment,location: Bay of PlentyBay of Plenty,https://www.seek.co.nz/job/39086536?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
HR/Quality Assurance & Personal Assistant,Kinetic Recruitment,location: Bay of PlentyBay of Plenty,https://www.seek.co.nz/job/39086467?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
Junior Data Analyst,Cavanagh & Associates Ltd,location: AucklandAuckland,https://www.seek.co.nz/job/39086372?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
Lead Data & Analytics Consultant,Absolute IT - 98.9%* of placed candidates will recommend us to others,location: AucklandAuckland,https://www.seek.co.nz/job/39086294?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
Intermediate Software Engineer,Absolute IT - 98.9%* of placed candidates will recommend us to others,location: AucklandAuckland,https://www.seek.co.nz/job/39086268?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
Practice Director - Data & Analytics (Wellington),Absolute IT - 98.9%* of placed candidates will recommend us to others,location: WellingtonWellington,https://www.seek.co.nz/job/39086251?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
Geo-Spatial Lead,Absolute IT - 98.9%* of placed candidates will recommend us to others,location: AucklandAuckland,https://www.seek.co.nz/job/39086235?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
Digital Analytics Lead,Kiwibank,location: WellingtonWellington,https://www.seek.co.nz/job/39086196?type=standout&amp;searchrequesttoken=7cf236f5-bda0-41a6-bcfa-3cb823006b08
Risk Analyst,Alexander James Limited,location: AucklandAuckland,https://www.seek.co.nz/job/39086122?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Senior Test Analyst,Ministry of Social Development,location: WellingtonWellington,https://www.seek.co.nz/job/39086071?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Lead Business Analyst,Rush Digital,location: AucklandAuckland,https://www.seek.co.nz/job/39086039?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Geotechnical Engineer,Beca,location: Bay of PlentyBay of Plenty,https://www.seek.co.nz/job/39085880?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Finance Business Partner - Operations,Convergence Partners Limited,location: AucklandAuckland,https://www.seek.co.nz/job/39085835?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Property Manager - Building Compliance Focus,Catholic Diocese of Auckland,location: AucklandAuckland,https://www.seek.co.nz/job/39085780?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Administrator,New Zealand Police,location: WaikatoWaikato,https://www.seek.co.nz/job/39085413?type=standard&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
General Manager,NZDF,location: WellingtonWellington,https://www.seek.co.nz/job/39085410?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Policy / Senior Policy Analyst,Hays Policy & Strategy,location: WellingtonWellington,https://www.seek.co.nz/job/39085408?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Asset and Network Manager,Hays Property,location: WellingtonWellington,https://www.seek.co.nz/job/39085350?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
"Supplier Relationship Manager, OCC",Westpac,location: AucklandAuckland,https://www.seek.co.nz/job/39085339?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Brand Support Reporting Analyst,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAuckland,https://www.seek.co.nz/job/39085300?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Brand Support Reporting Analyst,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAuckland,https://www.seek.co.nz/job/39085279?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Brand Support Reporting Analyst,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAuckland,https://www.seek.co.nz/job/39085277?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Data and Reporting Analyst,New Zealand Trade & Enterprise,location: WellingtonWellington,https://www.seek.co.nz/job/39085247?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Data and Reporting Analyst,New Zealand Trade & Enterprise,location: WellingtonWellington,https://www.seek.co.nz/job/39085246?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Senior Sales Manager,MEA Mobile,location: WaikatoWaikato,https://www.seek.co.nz/job/39085218?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Digital Designer,Waikato,location: WaikatoWaikato,https://www.seek.co.nz/job/39085198?type=standard&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Receptionist/Administrator,Forté Recruitment Ltd,location: WellingtonWellington,https://www.seek.co.nz/job/39085150?type=standout&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Frontline Station Support Officer,New Zealand Police,location: AucklandAuckland,https://www.seek.co.nz/job/39085115?type=standard&amp;searchrequesttoken=1984fefa-1bfa-46ce-b091-3a3f7433efc6
Customer Acquisition Specialist - B2B,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAuckland,https://www.seek.co.nz/job/39084985?type=standout&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Medical Clinic Manager,All Care Family Medical Centre,location: AucklandAuckland,https://www.seek.co.nz/job/39084958?type=standard&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Customer Acquisition Manager - B2B,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAuckland,https://www.seek.co.nz/job/39084950?type=standout&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Business Development Consultant,Gallup,location: WellingtonWellington,https://www.seek.co.nz/job/39084799?type=standout&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Key Account Manager,Sanofi,location: AucklandAuckland,https://www.seek.co.nz/job/39084719?type=standout&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Planning & Performance Reporting Advisors (x2),Momentum Consulting Group,location: WellingtonWellington,https://www.seek.co.nz/job/39084573?type=standout&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Head of UX,New Zealand Racing Board,location: WellingtonWellington,https://www.seek.co.nz/job/39083940?type=standout&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Seed Production Field Technician,AgResearch,location: CanterburyCanterbury,https://www.seek.co.nz/job/39083712?type=standout&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Orchard/Vineyard Supervisor,VK CONTRACTING LTD,location: Hawkes BayHawkes Bay,https://www.seek.co.nz/job/39082734?type=standard&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Junior Financial Analyst,Kinetic Recruitment,location: AucklandAuckland,https://www.seek.co.nz/job/39082005?type=standout&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Digital Transition Manager,Socialite Recruitment Ltd.,location: WellingtonWellington,https://www.seek.co.nz/job/39081877?type=standout&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Business Analyst (GIS),Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAuckland,https://www.seek.co.nz/job/39081493?type=standout&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Accountant / Senior Accountant,TMF Corporate Services New Zealand Limited,location: AucklandAuckland,https://www.seek.co.nz/job/39081477?type=standout&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Digital Content Producer,Tribe (New Zealand) Limited,location: AucklandAuckland,https://www.seek.co.nz/job/39081250?type=standout&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
"Network Engineer, healthAlliance - based in Penrose",healthAlliance,location: AucklandAuckland,https://www.seek.co.nz/job/39081179?type=standard&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
"Network Engineer, healthAlliance - based in Penrose",healthAlliance,location: AucklandAuckland,https://www.seek.co.nz/job/39081178?type=standard&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Key Account Manager - Foodstuffs South Island,Goodman Fielder New Zealand Limited,location: CanterburyCanterbury,https://www.seek.co.nz/job/39080947?type=standout&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Management Accountant,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAuckland,https://www.seek.co.nz/job/39080872?type=standout&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Senior Business Analyst,Ministry of Education,location: WellingtonWellington,https://www.seek.co.nz/job/39080741?type=standout&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Senior Business Analyst,Ministry of Education,location: WellingtonWellington,https://www.seek.co.nz/job/39080742?type=standout&amp;searchrequesttoken=201cba07-589f-4ee6-90bd-e38039595b9b
Principal Statistician,Stats NZ,location: WellingtonWellington,https://www.seek.co.nz/job/39080473?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Principal Statistician,Stats NZ,location: WellingtonWellington,https://www.seek.co.nz/job/39080472?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Customer Care Coordinator,Hays Contact Centres,location: WellingtonWellington,https://www.seek.co.nz/job/39080419?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Account Manager - Top Global Digital/CRM Agency - calling digital media execs!,Metro Recruitment Ltd,location: AucklandAuckland,https://www.seek.co.nz/job/39080408?type=standard&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Lead Copywriter,Datacom is one of Australasia’s largest professional IT services companies,location: AucklandAuckland,https://www.seek.co.nz/job/39080355?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Plant Accountant,Crescent Consulting,location: CanterburyCanterbury,https://www.seek.co.nz/job/39080272?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Marketing Automation Executive,Auckland University Of Technology,location: AucklandAuckland,https://www.seek.co.nz/job/39080254?type=standard&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Senior Economist,Hunter Campbell Limited,location: AucklandAuckland,https://www.seek.co.nz/job/39080202?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Passive Fire and Compliance Manager - Auckland,Rob Law maxrecruitment,location: AucklandAuckland,https://www.seek.co.nz/job/39080133?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
People and Performance Consultant,Coretex,location: AucklandAuckland,https://www.seek.co.nz/job/39080118?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Civil Construction Support Officer,Palmerston North City Council,location: ManawatuManawatu,https://www.seek.co.nz/job/39080079?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Civil Construction Support Officer,Palmerston North City Council,location: ManawatuManawatu,https://www.seek.co.nz/job/39080078?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Social Media Specialist,Fonterra Co-operative Group Ltd,location: AucklandAuckland,https://www.seek.co.nz/job/39080000?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Account Director,Kin,location: WellingtonWellington,https://www.seek.co.nz/job/39079674?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Problem Manager - Wellington,Datacom is one of Australasia’s largest professional IT services companies,location: WellingtonWellington,https://www.seek.co.nz/job/39079476?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Pricing and Analysis Manager,Alexander James Limited,location: AucklandAuckland,https://www.seek.co.nz/job/39079294?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Intermediate Business Analyst,Presto Resourcing,location: AucklandAuckland,https://www.seek.co.nz/job/39079077?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Senior Financial Analyst,Hunter Campbell Limited,location: AucklandAuckland,https://www.seek.co.nz/job/39079062?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Director - Integrated Safety Response,New Zealand Police,location: WaikatoWaikato,https://www.seek.co.nz/job/39078467?type=standard&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Digital Marketing Coordinator - Waikato Museum,Hamilton City Council,location: WaikatoWaikato,https://www.seek.co.nz/job/39078432?type=standout&amp;searchrequesttoken=4a120e85-b124-44ce-b3a4-edb4e11842a9
Digital Marketing Coordinator - Waikato Museum,Hamilton City Council,location: WaikatoWaikato,https://www.seek.co.nz/job/39078433?type=standout&amp;searchrequesttoken=df9922a8-8e23-4613-82b4-fbe7ea4cde7a
BRAND MANAGER WITH MILES CONTINENTAL,NetYourJob,location: CanterburyCanterbury,https://www.seek.co.nz/job/39078365?type=standout&amp;searchrequesttoken=df9922a8-8e23-4613-82b4-fbe7ea4cde7a
